seq,folge,szene,rolle,voice_id,delivery,tags,text,text_v3
156,3,3.2,VANE,,gesprochen,[softly],"Dreizehn. Du siehst mitgenommen aus. Ich verüble dir nichts davon. Ein Instrument, das sich verstimmt, klagt man nicht an — man stimmt es neu. Komm nach Norden. Ich habe, was du suchst: nicht Vergebung — die ist Aberglaube. Wiederherstellung. Ich kann sie dir zurückgeben, weißt du. Bild für Bild. Wort für Wort. Sie würden dich nie wieder verlassen. Und nie wieder altern. — Nun: Was ist ein Himmel mehr, nur weil er aus Messing ist?","[softly] Dreizehn. Du siehst mitgenommen aus. Ich verüble dir nichts davon. Ein Instrument, das sich verstimmt, klagt man nicht an — man stimmt es neu. Komm nach Norden. Ich habe, was du suchst: nicht Vergebung — die ist Aberglaube. Wiederherstellung. Ich kann sie dir zurückgeben, weißt du. Bild für Bild. Wort für Wort. Sie würden dich nie wieder verlassen. Und nie wieder altern. — Nun: Was ist ein Himmel mehr, nur weil er aus Messing ist?"
158,3,3.2,HELD,,gesprochen,,Meine Familie hat einen Namen gehabt. Du kriegst nicht mal ein Echo davon.,Meine Familie hat einen Namen gehabt. Du kriegst nicht mal ein Echo davon.
161,3,3.3,ERZÄHLER,,gesprochen,,Nur Mabel und der Held. Sie schenkt sich einen Schnaps ein und ihm ein Öl.,Nur Mabel und der Held. Sie schenkt sich einen Schnaps ein und ihm ein Öl.
163,3,3.3,MABEL,,gesprochen,,"Weißt du noch, was ich dir am ersten Abend gesagt hab? Wenn die Wüste dich fragt, wer du bist —","Weißt du noch, was ich dir am ersten Abend gesagt hab? Wenn die Wüste dich fragt, wer du bist —"
164,3,3.3,HELD,,gesprochen,,"— lass sie nicht antworten. Antworte selbst. Ich hab lang gebraucht, Mabel. Aber ich hab jetzt eine Antwort.","— lass sie nicht antworten. Antworte selbst. Ich hab lang gebraucht, Mabel. Aber ich hab jetzt eine Antwort."
165,3,3.3,MABEL,,gesprochen,,Und die wär?,Und die wär?
166,3,3.3,HELD,,gesprochen,,"Ich bin das, was der Konzern gebaut hat — und nicht bestellen wollte. Auf Rustwater.","Ich bin das, was der Konzern gebaut hat — und nicht bestellen wollte. Auf Rustwater."
167,3,3.3,MABEL,,gesprochen,,"Auf dich, Kleiner. Komm heim.","Auf dich, Kleiner. Komm heim."
169,3,3.3,MABEL,,gesprochen,[whispers],"Ich sag's, wie ich's mein. Das hier ist heim. Es war's die ganze Zeit.","[whispers] Ich sag's, wie ich's mein. Das hier ist heim. Es war's die ganze Zeit."
173,3,3.4,ERZÄHLER,,gesprochen,,"Das Eiserne Herz, zweite Ebene. Regale, kilometerweit, gefüllt mit Stanzwalzen. Jede trägt ein Namensschild. Jede murmelt Fragmente einer kopierten Seele. Der Held geht die Reihen entlang. Und bleibt stehen. Drei Walzen, nebeneinander. Hale, Liv. Hale, Sara. Hale, Tom.","Das Eiserne Herz, zweite Ebene. Regale, kilometerweit, gefüllt mit Stanzwalzen. Jede trägt ein Namensschild. Jede murmelt Fragmente einer kopierten Seele. Der Held geht die Reihen entlang. Und bleibt stehen. Drei Walzen, nebeneinander. Hale, Liv. Hale, Sara. Hale, Tom."
175,3,3.4,HELD,,gesprochen,[whispers],"Nein. Ihr seid keine Aufnahmen. Ich hör euch nicht an. Ich trag euch raus. Ihr habt Wind verdient. Und Wetter. Und Erde, die keinem gehört.","[whispers] Nein. Ihr seid keine Aufnahmen. Ich hör euch nicht an. Ich trag euch raus. Ihr habt Wind verdient. Und Wetter. Und Erde, die keinem gehört."
180,3,3.5,ERZÄHLER,,gesprochen,,"Der oberste Saal. Vor dem schlagenden Herzen, an einem Schreibtisch aus schwarzem Walnussholz, sitzt Vane und stempelt Papiere, als wäre nichts.","Der oberste Saal. Vor dem schlagenden Herzen, an einem Schreibtisch aus schwarzem Walnussholz, sitzt Vane und stempelt Papiere, als wäre nichts."
182,3,3.5,VANE,,gesprochen,[softly],"Zweihundert Elite-Chassis. Drei Sicherheitsringe. Ein Smog-Gürtel. Ich habe nie an Wunder geglaubt, Dreizehn, aber ich glaube an Stückkosten, und du warst jede einzelne Doppelkrone wert. Willkommen daheim. Du bist das einzige meiner Kinder, das je den Weg zurück gefunden hat.","[softly] Zweihundert Elite-Chassis. Drei Sicherheitsringe. Ein Smog-Gürtel. Ich habe nie an Wunder geglaubt, Dreizehn, aber ich glaube an Stückkosten, und du warst jede einzelne Doppelkrone wert. Willkommen daheim. Du bist das einzige meiner Kinder, das je den Weg zurück gefunden hat."
183,3,3.5,HELD,,gesprochen,,Ich bin nicht dein Kind. Ich bin deine Quittung.,Ich bin nicht dein Kind. Ich bin deine Quittung.
184,3,3.5,ERZÄHLER,,gesprochen,,"Vane steht auf, tritt um den Schreibtisch. Im Licht des Herzens sieht man es: Sein Gesicht wirft keinen Schweiß. Keine Poren. Wachs.","Vane steht auf, tritt um den Schreibtisch. Im Licht des Herzens sieht man es: Sein Gesicht wirft keinen Schweiß. Keine Poren. Wachs."
185,3,3.5,VANE,,gesprochen,[softly],"Quittung. Gut. Reden wir Zahlen. Providence Cut: zweihundertvierzehn Tote. Die Hungersnot von '88, bevor meine Züge fuhren: elftausend. Ich habe das Sterben in diesem Territorium um neunzig Prozent gesenkt — und man malt mich als Teufel an die Wände, weil ich für den Rest Rechnungen stelle. Und dich … dich habe ich dem Tod persönlich abgekauft, Jeremiah Hale. Du lagst unter einem eingestürzten Stollen, das Rückgrat zermalmt, deine Frau hat an meinem Zug um Hilfe gebettelt — und ich habe geholfen. Auf meine Art. Ich habe den Tod enteignet. Er war ein schlechter Verwalter.","[softly] Quittung. Gut. Reden wir Zahlen. Providence Cut: zweihundertvierzehn Tote. Die Hungersnot von '88, bevor meine Züge fuhren: elftausend. Ich habe das Sterben in diesem Territorium um neunzig Prozent gesenkt — und man malt mich als Teufel an die Wände, weil ich für den Rest Rechnungen stelle. Und dich … dich habe ich dem Tod persönlich abgekauft, Jeremiah Hale. Du lagst unter einem eingestürzten Stollen, das Rückgrat zermalmt, deine Frau hat an meinem Zug um Hilfe gebettelt — und ich habe geholfen. Auf meine Art. Ich habe den Tod enteignet. Er war ein schlechter Verwalter."
186,3,3.5,HELD,,gesprochen,[whispers],Du hast mich gerettet … und dann auf meine eigene Stadt abgefeuert.,[whispers] Du hast mich gerettet … und dann auf meine eigene Stadt abgefeuert.
187,3,3.5,VANE,,gesprochen,[softly],"Ich habe ein Werkzeug verwendet, das vorhanden war. Sentimentalität wäre Verschwendung gewesen. Sieh dich um, Dreizehn. Jede Walze da unten ist ein Mensch, den ich vor dem Vergessen bewahrt habe. Ich baue den einzigen Himmel, der nachweislich existiert — und du bist mein erster Engel. Komm heim.","[softly] Ich habe ein Werkzeug verwendet, das vorhanden war. Sentimentalität wäre Verschwendung gewesen. Sieh dich um, Dreizehn. Jede Walze da unten ist ein Mensch, den ich vor dem Vergessen bewahrt habe. Ich baue den einzigen Himmel, der nachweislich existiert — und du bist mein erster Engel. Komm heim."
189,3,3.5,HELD,,gesprochen,,"Zwei Worte, Direktor. Dieselben, die ihr mir geschenkt habt: Protokoll. Wahrheit.","Zwei Worte, Direktor. Dieselben, die ihr mir geschenkt habt: Protokoll. Wahrheit."
190,3,3.5,ERZÄHLER,,gesprochen,,"Vane sieht sein Spiegelbild. Und zuckt. Ein winziges, uraltes Zucken — der erste ehrliche Reflex seit hundert Jahren. Denn in der Scherbe sitzt unter dem Wachs dasselbe wie unter der Illusion des Helden: Stahl. Vane, der erste Transfer, hat sich selbst nie im Spiegel angesehen.","Vane sieht sein Spiegelbild. Und zuckt. Ein winziges, uraltes Zucken — der erste ehrliche Reflex seit hundert Jahren. Denn in der Scherbe sitzt unter dem Wachs dasselbe wie unter der Illusion des Helden: Stahl. Vane, der erste Transfer, hat sich selbst nie im Spiegel angesehen."
191,3,3.5,VANE,,gesprochen,[whispers] [softly],Ich bin nicht … ich bin der Direktor—,[whispers] [softly] Ich bin nicht … ich bin der Direktor—
192,3,3.5,HELD,,gesprochen,,"Du bist die älteste Maschine im Raum, die sich für einen Menschen hält. Ich weiß, wie das endet. Es endet hier.","Du bist die älteste Maschine im Raum, die sich für einen Menschen hält. Ich weiß, wie das endet. Es endet hier."
197,3,3.6,ERZÄHLER,,gesprochen,,"Das Eiserne Herz steht still. Gideon steht am zerstörten Schreibtisch und verbrennt die Schuldbücher, Blatt für Blatt.","Das Eiserne Herz steht still. Gideon steht am zerstörten Schreibtisch und verbrennt die Schuldbücher, Blatt für Blatt."
199,3,3.6,GIDEON,,gesprochen,,"Kein neuer Direktor. Kein neuer Thron. Wir verteilen die Schienen an die, die auf ihnen bluten. Und du? Du hast einen Krieg gewonnen, Maschine. Was baust du jetzt?","Kein neuer Direktor. Kein neuer Thron. Wir verteilen die Schienen an die, die auf ihnen bluten. Und du? Du hast einen Krieg gewonnen, Maschine. Was baust du jetzt?"
200,3,3.6,HELD,,gesprochen,,"Was ich nie hatte. Ein Zuhause, das mir keiner eingebaut hat.","Was ich nie hatte. Ein Zuhause, das mir keiner eingebaut hat."
202,3,3.6,ERZÄHLER,,gesprochen,,"Epilog. Providence Cut. Er begräbt die drei Walzen unter freiem Himmel. Wind. Er bleibt, bis die Sonne aufgeht.","Epilog. Providence Cut. Er begräbt die drei Walzen unter freiem Himmel. Wind. Er bleibt, bis die Sonne aufgeht."
204,3,3.6,ERZÄHLER,,gesprochen,,"Das Monopol fiel. Die Arbeiter sind frei. Und zum ersten Mal seit Menschengedenken hat der Krater einen offenen Himmel — der Tunnel steht auf, die eingesperrte Welt atmet. In Rustwater aber steht am Tresen eine Dose Öl. Aufs Haus. Wie immer.","Das Monopol fiel. Die Arbeiter sind frei. Und zum ersten Mal seit Menschengedenken hat der Krater einen offenen Himmel — der Tunnel steht auf, die eingesperrte Welt atmet. In Rustwater aber steht am Tresen eine Dose Öl. Aufs Haus. Wie immer."
206,3,3.6,ERZÄHLER,,gesprochen,,Ende.,Ende.
