seq,folge,szene,typ,rolle,voice_id,delivery,regie,text
169,3,3.3,line,MABEL,V_MABEL,gesprochen,"leise, und sie meint es GENAU deshalb","Ich sag's, wie ich's mein. Das hier ist heim. Es war's die ganze Zeit."
170,3,3.3,music,,,,"SALOON-KLAVIER, warm, ein einzelnes Motiv — die Menschlichkeit hält.",
171,3,3.3,transition,,,,BLENDE,
172,3,3.4,atmo,,,,Eine Kathedrale aus Metall. Tausende Messingwalzen rotieren im Leerlauf.,
173,3,3.4,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Das Eiserne Herz, zweite Ebene. Regale, kilometerweit, gefüllt mit Stanzwalzen. Jede trägt ein Namensschild. Jede murmelt Fragmente einer kopierten Seele. Der Held geht die Reihen entlang. Und bleibt stehen. Drei Walzen, nebeneinander. Hale, Liv. Hale, Sara. Hale, Tom."
174,3,3.4,sfx,,,,"Seine Hand schwebt über einer Kurbel. Eine Umdrehung, und er hörte ihre echten Stimmen. Die Hand zieht sich zurück.",
175,3,3.4,line,HELD,V_HELD,gesprochen,"leise, fest","Nein. Ihr seid keine Aufnahmen. Ich hör euch nicht an. Ich trag euch raus. Ihr habt Wind verdient. Und Wetter. Und Erde, die keinem gehört."
176,3,3.4,sfx,,,,"Eine Brustklappe klickt zu — dort, wo der Kessel am wärmsten ist.",
177,3,3.4,transition,,,,BLENDE,
178,3,3.5,atmo,,,,Die Herzkammer. Ein hausgroßer Kolbenmotor — das Eiserne Herz — schlägt langsam und gewaltig. Sein Schlag ist der Puls des ganzen Konzerns.,
179,3,3.5,music,,,,"HERZ-MOTIV, jetzt in voller Größe — und man erkennt: es war von der ersten Szene an SEIN Puls.",
180,3,3.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Der oberste Saal. Vor dem schlagenden Herzen, an einem Schreibtisch aus schwarzem Walnussholz, sitzt Vane und stempelt Papiere, als wäre nichts."
181,3,3.5,sfx,,,,"Ein Stempel. Noch einer. Ruhig, unbeirrt.",
182,3,3.5,line,VANE,V_VANE,gesprochen,ohne aufzusehen,"Zweihundert Elite-Chassis. Drei Sicherheitsringe. Ein Smog-Gürtel. Ich habe nie an Wunder geglaubt, Dreizehn, aber ich glaube an Stückkosten, und du warst jede einzelne Doppelkrone wert. Willkommen daheim. Du bist das einzige meiner Kinder, das je den Weg zurück gefunden hat."
183,3,3.5,line,HELD,V_HELD,gesprochen,,Ich bin nicht dein Kind. Ich bin deine Quittung.
184,3,3.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Vane steht auf, tritt um den Schreibtisch. Im Licht des Herzens sieht man es: Sein Gesicht wirft keinen Schweiß. Keine Poren. Wachs."
185,3,3.5,line,VANE,V_VANE,gesprochen,,"Quittung. Gut. Reden wir Zahlen. Providence Cut: zweihundertvierzehn Tote. Die Hungersnot von '88, bevor meine Züge fuhren: elftausend. Ich habe das Sterben in diesem Territorium um neunzig Prozent gesenkt — und man malt mich als Teufel an die Wände, weil ich für den Rest Rechnungen stelle. Und dich … dich habe ich dem Tod persönlich abgekauft, Jeremiah Hale. Du lagst unter einem eingestürzten Stollen, das Rückgrat zermalmt, deine Frau hat an meinem Zug um Hilfe gebettelt — und ich habe geholfen. Auf meine Art. Ich habe den Tod enteignet. Er war ein schlechter Verwalter."
186,3,3.5,line,HELD,V_HELD,gesprochen,sehr still,Du hast mich gerettet … und dann auf meine eigene Stadt abgefeuert.
187,3,3.5,line,VANE,V_VANE,gesprochen,"zum ersten Mal ohne Wärme, glatt wie eine Bilanz","Ich habe ein Werkzeug verwendet, das vorhanden war. Sentimentalität wäre Verschwendung gewesen. Sieh dich um, Dreizehn. Jede Walze da unten ist ein Mensch, den ich vor dem Vergessen bewahrt habe. Ich baue den einzigen Himmel, der nachweislich existiert — und du bist mein erster Engel. Komm heim."
188,3,3.5,sfx,,,,Kein Waffenziehen. Stattdessen — eine Glasscherbe wird aus einem Mantel gezogen. Die Spiegelscherbe aus dem Salonwaggon. Er hat sie die ganze Zeit getragen.,
189,3,3.5,line,HELD,V_HELD,gesprochen,,"Zwei Worte, Direktor. Dieselben, die ihr mir geschenkt habt: Protokoll. Wahrheit."
190,3,3.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Vane sieht sein Spiegelbild. Und zuckt. Ein winziges, uraltes Zucken — der erste ehrliche Reflex seit hundert Jahren. Denn in der Scherbe sitzt unter dem Wachs dasselbe wie unter der Illusion des Helden: Stahl. Vane, der erste Transfer, hat sich selbst nie im Spiegel angesehen."
191,3,3.5,line,VANE,V_VANE,gesprochen,"flüstert, das Wachslächeln hängt schief",Ich bin nicht … ich bin der Direktor—
192,3,3.5,line,HELD,V_HELD,gesprochen,,"Du bist die älteste Maschine im Raum, die sich für einen Menschen hält. Ich weiß, wie das endet. Es endet hier."
193,3,3.5,sfx,,,,"Das Eiserne Herz beschleunigt. Vane verschmilzt mit der Maschine — der Bosskampf. Kolben-Telegraphs, berstender Stahl, die Halle selbst wird zur Waffe.",
194,3,3.5,music,,,,"HERZ-MOTIV, überwältigend, dann — ein letztes Mal — Stillstand.",
195,3,3.5,sfx,,,,Der große Kolben schlägt ein letztes Mal. Und hält. Absolute Stille.,
196,3,3.6,atmo,,,,"Zum ersten Mal seit fünfzig Jahren totale Stille über dem Territorium. Dann — eine einzelne Schichtglocke, die läutet, einfach weil sie es kann.",
197,3,3.6,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Das Eiserne Herz steht still. Gideon steht am zerstörten Schreibtisch und verbrennt die Schuldbücher, Blatt für Blatt."
198,3,3.6,sfx,,,,"Papier fängt Feuer, Blatt um Blatt.",
199,3,3.6,line,GIDEON,V_GIDEON,gesprochen,,"Kein neuer Direktor. Kein neuer Thron. Wir verteilen die Schienen an die, die auf ihnen bluten. Und du? Du hast einen Krieg gewonnen, Maschine. Was baust du jetzt?"
200,3,3.6,line,HELD,V_HELD,gesprochen,,"Was ich nie hatte. Ein Zuhause, das mir keiner eingebaut hat."
201,3,3.6,music,,,,"FAMILIEN-MOTIV — zum ersten Mal wieder rein, unverzerrt, als Spieluhr.",
202,3,3.6,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Epilog. Providence Cut. Er begräbt die drei Walzen unter freiem Himmel. Wind. Er bleibt, bis die Sonne aufgeht."
203,3,3.6,sfx,,,,"Wind über offener Erde — weit, hoch, frei. Am Horizont, wo tausend Meter Kraterwand standen, steht jetzt ein offenes Tor.",
204,3,3.6,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Das Monopol fiel. Die Arbeiter sind frei. Und zum ersten Mal seit Menschengedenken hat der Krater einen offenen Himmel — der Tunnel steht auf, die eingesperrte Welt atmet. In Rustwater aber steht am Tresen eine Dose Öl. Aufs Haus. Wie immer."
205,3,3.6,music,,,,"HERZ-MOTIV, das den Puls des Konzerns war, verklingt endgültig. Nur noch Wind und die Spieluhr.",
206,3,3.6,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Ende.
